Date;Time;Pst1;Pst2;Pst3 
2/07/2008;13:05:00;0,39;0,354;0,348
2/07/2008;13:15:00;0,333;0,353;0,326
2/07/2008;13:25:00;0,22;0,24;0,202
2/07/2008;13:35:00;0,404;0,354;0,34
2/07/2008;13:45:00;0,445;0,338;0,372
2/07/2008;13:55:00;0,433;0,412;0,389
2/07/2008;14:05:00;0,456;0,412;0,385
2/07/2008;14:15:00;0,562;0,552;0,533
2/07/2008;14:25:00;0,613;0,428;0,479
2/07/2008;14:35:00;0,278;0,297;0,315
2/07/2008;14:45:00;0,371;0,345;0,348
2/07/2008;14:55:00;0,264;0,226;0,259
2/07/2008;15:05:00;0,245;0,212;0,223
2/07/2008;15:15:00;0,277;0,22;0,223
2/07/2008;15:25:00;0,185;0,179;0,188
2/07/2008;15:35:00;0,189;0,185;0,202
2/07/2008;15:45:00;0,244;0,245;0,268
2/07/2008;15:55:00;0,283;0,229;0,245
2/07/2008;16:05:00;0,247;0,204;0,211
2/07/2008;16:15:00;0,221;0,211;0,216
2/07/2008;16:25:00;0,21;0,203;0,195
2/07/2008;16:35:00;0,226;0,282;0,223
2/07/2008;16:45:00;0,2;0,193;0,196
2/07/2008;16:55:00;0,233;0,185;0,216
2/07/2008;17:05:00;0,223;0,197;0,2
2/07/2008;17:15:00;0,187;0,191;0,181
2/07/2008;17:25:00;0,202;0,184;0,201
2/07/2008;17:35:00;0,251;0,244;0,239
2/07/2008;17:45:00;0,213;0,211;0,236
2/07/2008;17:55:00;0,226;0,216;0,221
2/07/2008;18:05:00;0,224;0,216;0,21
2/07/2008;18:15:00;0,2;0,202;0,195
2/07/2008;18:25:00;0,184;0,175;0,188
2/07/2008;18:35:00;0,17;0,166;0,154
2/07/2008;18:45:00;0,234;0,24;0,226
2/07/2008;18:55:00;0,228;0,227;0,234
2/07/2008;19:05:00;0,234;0,248;0,315
2/07/2008;19:15:00;0,182;0,172;0,175
2/07/2008;19:25:00;0,199;0,191;0,191
2/07/2008;19:35:00;0,196;0,202;0,178
2/07/2008;19:45:00;0,183;0,18;0,172
2/07/2008;19:55:00;0,27;0,276;0,245
2/07/2008;20:05:00;0,189;0,196;0,18
2/07/2008;20:15:00;0,273;0,276;0,262
2/07/2008;20:25:00;0,186;0,185;0,179
2/07/2008;20:35:00;0,261;0,254;0,232
2/07/2008;20:45:00;0,163;0,153;0,144
2/07/2008;20:55:00;0,197;0,201;0,173
2/07/2008;21:05:00;0,257;0,258;0,234
2/07/2008;21:15:00;0,286;0,292;0,272
2/07/2008;21:25:00;0,358;0,351;0,356
2/07/2008;21:35:00;0,381;0,372;0,388
2/07/2008;21:45:00;0,645;0,473;0,451
2/07/2008;21:55:00;0,483;0,393;0,366
2/07/2008;22:05:00;0,517;0,322;0,309
2/07/2008;22:15:00;0,637;0,5;0,544
2/07/2008;22:25:00;0,516;0,479;0,415
2/07/2008;22:35:00;0,526;0,498;0,488
2/07/2008;22:45:00;0,441;0,368;0,361
2/07/2008;22:55:00;0,344;0,292;0,33
2/07/2008;23:05:00;0,184;0,175;0,176
2/07/2008;23:15:00;0,49;0,435;0,41
2/07/2008;23:25:00;0,451;0,356;0,389
2/07/2008;23:35:00;0,523;0,469;0,481
2/07/2008;23:45:00;0,556;0,573;0,484
2/07/2008;23:55:00;0,476;0,446;0,46
3/07/2008;00:05:00;0,429;0,336;0,37
3/07/2008;00:15:00;0,356;0,332;0,343
3/07/2008;00:25:00;0,453;0,388;0,39
3/07/2008;00:35:00;0,341;0,29;0,304
3/07/2008;00:45:00;0,282;0,302;0,264
3/07/2008;00:55:00;0,548;0,521;0,509
3/07/2008;01:05:00;0,583;0,544;0,55
3/07/2008;01:15:00;0,528;0,534;0,485
3/07/2008;01:25:00;0,371;0,434;0,359
3/07/2008;01:35:00;0,357;0,272;0,32
3/07/2008;01:45:00;0,384;0,389;0,305
3/07/2008;01:55:00;0,432;0,356;0,37
3/07/2008;02:05:00;0,353;0,325;0,314
3/07/2008;02:15:00;0,688;0,615;0,646
3/07/2008;02:25:00;0,492;0,432;0,371
3/07/2008;02:35:00;0,436;0,401;0,398
3/07/2008;02:45:00;0,38;0,304;0,294
3/07/2008;02:55:00;0,423;0,307;0,338
3/07/2008;03:05:00;0,438;0,449;0,37
3/07/2008;03:15:00;0,51;0,424;0,372
3/07/2008;03:25:00;0,492;0,421;0,407
3/07/2008;03:35:00;0,49;0,476;0,474
3/07/2008;03:45:00;0,475;0,438;0,393
3/07/2008;03:55:00;0,409;0,363;0,362
3/07/2008;04:05:00;0,366;0,336;0,366
3/07/2008;04:15:00;0,528;0,466;0,42
3/07/2008;04:25:00;0,496;0,583;0,44
3/07/2008;04:35:00;0,4;0,383;0,317
3/07/2008;04:45:00;0,598;0,478;0,537
3/07/2008;04:55:00;0,45;0,408;0,39
3/07/2008;05:05:00;0,364;0,288;0,33
3/07/2008;05:15:00;0,446;0,453;0,411
3/07/2008;05:25:00;0,546;0,498;0,514
3/07/2008;05:35:00;0,24;0,262;0,217
3/07/2008;05:45:00;0,23;0,237;0,235
3/07/2008;05:55:00;0,209;0,218;0,216
3/07/2008;06:05:00;0,239;0,239;0,221
3/07/2008;06:15:00;0,572;0,424;0,465
3/07/2008;06:25:00;0,429;0,464;0,429
3/07/2008;06:35:00;0,609;0,532;0,554
3/07/2008;06:45:00;0,516;0,458;0,48
3/07/2008;06:55:00;0,317;0,247;0,259
3/07/2008;07:05:00;0,271;0,242;0,307
3/07/2008;07:15:00;0,279;0,261;0,238
3/07/2008;07:25:00;0,168;0,165;0,159
3/07/2008;07:35:00;0,205;0,21;0,2
3/07/2008;07:45:00;0,211;0,207;0,229
3/07/2008;07:55:00;0,509;0,505;0,423
3/07/2008;08:05:00;0,475;0,466;0,426
3/07/2008;08:15:00;0,485;0,456;0,426
3/07/2008;08:25:00;0,334;0,261;0,283
3/07/2008;08:35:00;0,576;0,475;0,516
3/07/2008;08:45:00;0,575;0,513;0,512
3/07/2008;08:55:00;0,491;0,42;0,46
3/07/2008;09:05:00;0,365;0,291;0,34
