"UP 2210"
"Version"	"1.64"	"1.62"
"Serialnumber:"	25003817
"Main comment"	"Measure 1"
"Start:"	"2008-07-01"	"15:45:00"
"End:"	"2008-07-04"	"13:31:17"
"Storage interval:"	"0:10:00"



"Channel/Method"	"Comment"	"Range"	"Min"	"Max"
"Pst1  [] Flicker Pst"	""	""	0,163000	2,541000
"Pst2  [] Flicker Pst"	""	""	0,153000	3,103000
"Pst3  [] Flicker Pst"	""	""	0,144000	4,028000




Date	Time	"Pst1  []"	"Pst2  []"	"Pst3  []"	
"2008-07-02"	"08:05:00"	0,54	0,33	0,317	
"2008-07-02"	"08:15:00"	0,506	0,418	0,444	
"2008-07-02"	"08:25:00"	0,507	0,44	0,434	
"2008-07-02"	"08:35:00"	0,448	0,449	0,477	
"2008-07-02"	"08:45:00"	0,347	0,33	0,326	
"2008-07-02"	"08:55:00"	0,335	0,287	0,325	
"2008-07-02"	"09:05:00"	0,312	0,314	0,295	
"2008-07-02"	"09:15:00"	0,28	0,268	0,264	
"2008-07-02"	"09:25:00"	0,392	0,363	0,275	
"2008-07-02"	"09:35:00"	0,449	0,408	0,488	
"2008-07-02"	"09:45:00"	0,513	0,484	0,498	
"2008-07-02"	"09:55:00"	0,444	0,38	0,382	
"2008-07-02"	"10:05:00"	0,607	0,603	0,616	
"2008-07-02"	"10:15:00"	0,566	0,53	0,532	
"2008-07-02"	"10:25:00"	0,272	0,241	0,235	
"2008-07-02"	"10:35:00"	0,229	0,218	0,211	
"2008-07-02"	"10:45:00"	0,592	0,469	0,46	
"2008-07-02"	"10:55:00"	0,465	0,395	0,354	
"2008-07-02"	"11:05:00"	0,513	0,407	0,38	
"2008-07-02"	"11:15:00"	0,502	0,455	0,485	
"2008-07-02"	"11:25:00"	0,601	0,511	0,47	
"2008-07-02"	"11:35:00"	0,467	0,558	0,965	
"2008-07-02"	"11:45:00"	0,371	0,402	0,764	
"2008-07-02"	"11:55:00"	0,608	0,567	0,595	
"2008-07-02"	"12:05:00"	0,546	0,509	0,488	
"2008-07-02"	"12:15:00"	0,457	0,424	0,452	
"2008-07-02"	"12:25:00"	0,425	0,402	0,377	
"2008-07-02"	"12:35:00"	0,666	0,571	0,489	
"2008-07-02"	"12:45:00"	0,5	0,512	0,528	
"2008-07-02"	"12:55:00"	0,498	0,449	0,467	
"2008-07-02"	"13:05:00"	0,39	0,354	0,348	
"2008-07-02"	"13:15:00"	0,333	0,353	0,326	
"2008-07-02"	"13:25:00"	0,22	0,24	0,202	
"2008-07-02"	"13:35:00"	0,404	0,354	0,34	
"2008-07-02"	"13:45:00"	0,445	0,338	0,372	
"2008-07-02"	"13:55:00"	0,433	0,412	0,389	
"2008-07-02"	"14:05:00"	0,456	0,412	0,385	
"2008-07-02"	"14:15:00"	0,562	0,552	0,533	
"2008-07-02"	"14:25:00"	0,613	0,428	0,479	
"2008-07-02"	"14:35:00"	0,278	0,297	0,315	
"2008-07-02"	"14:45:00"	0,371	0,345	0,348	
